$$ProductCategory.Name$Product.StockKeepingUnit$Catalog.Name,Catalog.Name,CurrencyIsoCode,Product.Name,ProductCategory.$$Name$Catalog.Name$ParentCategory.Name
API;QB-API-REQT;Software,Software,USD,API Access Requests (AEH),API;Software
Accessories;QB-CMPC-5881;Hardware,Hardware,USD,Cable Management Rings (Qty 10),Accessories;Hardware
Accessories;QB-CMPC-5883;Hardware,Hardware,USD,"Vertical Cable Organizer, 8 Cable Rings",Accessories;Hardware
Accessories;QB-CMPC-5884;Hardware,Hardware,USD,Cable Containment Brackets,Accessories;Hardware
Accessories;QB-BMX-1051;Hardware,Hardware,USD,QuantumShell 6U 600mmx870mm,Accessories;Hardware
Accessories;QB-BMX-1050;Hardware,Hardware,USD,QuantumShell 8U 600mmx1070mm,Accessories;Hardware
Accessories;QB-BMX-1053;Hardware,Hardware,USD,QuantumShell 10U 600mmx1200mm,Accessories;Hardware
Bundle;QB-BDL-ENTR;Software,Software,USD,QuantumBit Enterprise,Bundle;Software
Bundle;QB-BDL-CRTL;Software,Software,USD,QuantumBit Business Critical,Bundle;Software
Training;QB-TRN-FUND;Software,Software,USD,QuantumBit Fundamentals Training,Training;Software
Training;QB-TRN-ESSNTLS;Software,Software,USD,QuantumBit Essentials Training,Training;Software
Services;QB-SRV-OG-PSH;Services,Services,USD,Professional Services Daily Rate,Services;Services
Services;QB-SRV-SOW;Services,Services,USD,Professional Services Scope of Work,Services;Services
Processor;QB-INTEL E5-2609;Hardware,Hardware,USD,Intel Xeon E5-2609 v4 1.7GHz,Processor;Hardware
Server;QB-BDL-R750;Hardware,Hardware,USD,PowerSwerve R750 Rack Server,Server;Hardware
Subscription;TEST-SUB;Software,Software,USD,Subscription,Subscription;Software
Memory;QB-MEM 16GB;Hardware,Hardware,USD,16GB RDIMM,Memory;Hardware
Hard Drive;QB-HD 8TB;Hardware,Hardware,USD,8TB 7.2k RPM NLSAS,Hard Drive;Hardware
Hard Drive;QB-HD 8TBSE;Hardware,Hardware,USD,8TB 7.2k RPM Self-Encrypting NLSAS,Hard Drive;Hardware
Network Adapter;QB-BET X710SFP;Hardware,Hardware,USD,Intel X710 Dual Port 10Gb SFP,Network Adapter;Hardware
Services;QB-BDL-SRVC;Services,Services,USD,QuantumBit Services Project,Services;Services
Accessories;QB-CMPC-5882;Hardware,Hardware,USD,Configured Power Cable,Accessories;Hardware
Bundle;QB-BDL-STND;Software,Software,USD,QuantumBit Starter,Bundle;Software
Processor;QB-INTEL E5-2660;Hardware,Hardware,USD,Intel Xeon E5-2660 v4 2.0GHz,Processor;Hardware
Processor;QB-INTEL E5-2667;Hardware,Hardware,USD,Intel Xeon E5-2667 v4 3.2GHz,Processor;Hardware
Processor;QB-INTEL E5-2683;Hardware,Hardware,USD,Intel Xeon E5-2683 v4 2.1GHz,Processor;Hardware
Memory;QB-MEM 32GB;Hardware,Hardware,USD,32GB RDIMM,Memory;Hardware
Hard Drive;QB-HD 1TB;Hardware,Hardware,USD,1TB 7.2k RPM NLSAS,Hard Drive;Hardware
API;QB-API;Software,Software,USD,Additional API,API;Software
Bundle;QB-COMPLETE;Software,Software,USD,QuantumBit Complete Solution,Bundle;Software
Hard Drive;QB-HD 4TB;Hardware,Hardware,USD,4TB 7.2k RPM NLSAS,Hard Drive;Hardware
Memory;QB-MEM 8GB;Hardware,Hardware,USD,8GB RDIMM,Memory;Hardware
Network Adapter;QB-NET X710;Hardware,Hardware,USD,Intel X710 Dual Port 10Gb Direct Attach,Network Adapter;Hardware
Accessories;QB-CMPC-5887;Hardware,Hardware,USD,C13 to C14 Power Cable 3',Accessories;Hardware
Accessories;QB-CMPC-5888;Hardware,Hardware,USD,C13 to C14 Power Cable 5',Accessories;Hardware
Accessories;QB-CMPC-5889;Hardware,Hardware,USD,C19 to C20 Power Cable 3',Accessories;Hardware
Accessories;QB-CMPC-5890;Hardware,Hardware,USD,C19 to C20 Power Cable 5',Accessories;Hardware
Accessories;QB-CMPC-5891;Hardware,Hardware,USD,L5-20 Input Power Cable 12',Accessories;Hardware
Accessories;QB-CMPC-5892;Hardware,Hardware,USD,L5-20 Input Power Cable 8',Accessories;Hardware
Maintenance;QB-SUPP-1005;Software,Software,USD,Gold Hardware Maintenance,Maintenance;Software
Hardware Maintenance;QB-SUPP-1005;Hardware,Hardware,USD,Gold Hardware Maintenance,Hardware Maintenance;Hardware
Maintenance;QB-SUPP-1000;Software,Software,USD,Silver Hardware Maintenance,Maintenance;Software
Hardware Maintenance;QB-SUPP-1000;Hardware,Hardware,USD,Silver Hardware Maintenance,Hardware Maintenance;Hardware
API;QB-AUT-CRED;Software,Software,USD,Additional Automation QB Credits,API;Software
API;QB-API-PROD;Software,Software,USD,Additional API Prod,API;Software
API;QB-API-PREP;Software,Software,USD,Additional API Pre-Prod,API;Software
API;QB-API-GOVT;Software,Software,USD,Additional API Gov,API;Software
API;QB-API-FLEX;Software,Software,USD,Additional API Flex (100M),API;Software
API;QB-DAT-GRPH;Software,Software,USD,Additional QB DataGraph (500M),API;Software
