$$Name$ParentProduct.StockKeepingUnit,Code,CurrencyIsoCode,Description,MaxBundleComponents,MinBundleComponents,Name,ParentProduct.Name,Sequence
Maintenance & Support;QB-COMPLETE,,USD,,,,Maintenance & Support,QuantumBit Complete Solution,40
Training;QB-BDL-STND,,USD,,1,1,Training,QuantumBit Starter,
Maintenance;QB-BDL-STND,,USD,,1,1,Maintenance,QuantumBit Starter,
Software;QB-COMPLETE,,USD,,,,Software,QuantumBit Complete Solution,10
Training;QB-COMPLETE,,USD,,,,Training,QuantumBit Complete Solution,20
Services;QB-COMPLETE,,USD,,,,Services,QuantumBit Complete Solution,30
Memory Capacity;QB-BDL-R750,,USD,,1,1,Memory Capacity,PowerSwerve R750 Rack Server,2
Hard Drive;QB-BDL-R750,,USD,,1,1,Hard Drive,PowerSwerve R750 Rack Server,3
Processor;QB-BDL-R750,,USD,,1,1,Processor,PowerSwerve R750 Rack Server,1
Project_Management;QB-BDL-SRVC,Project_Management,USD,,,,Project_Management,QuantumBit Services Project,2
Network Adapter;QB-BDL-R750,,USD,,1,1,Network Adapter,PowerSwerve R750 Rack Server,4
Engineering_Resources;QB-BDL-SRVC,Engineering_Resources,USD,,,,Engineering_Resources,QuantumBit Services Project,1
Solution_Architecture;QB-BDL-SRVC,Solution_Architecture,USD,,,,Solution_Architecture,QuantumBit Services Project,3
