$$Name$AttributeCategory.Name$AttributeDefinition.Name$ProductClassificationAttribute.Name$Product2.StockKeepingUnit$OverriddenProductAttributeDefinition.Name$ProductClassificationAttribute.Name$OverrideContext.Name,AttributeCategory.Name,AttributeDefinition.Name,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$Name$AttributeCategory.Name$AttributeDefinition.Name$ProductClassificationAttribute.Name$Product2.StockKeepingUnit$OverriddenProductAttributeDefinition.Name$ProductClassificationAttribute.Name$OverrideContext.Name,OverrideContext.Name,Product2.Name,ProductClassificationAttribute.$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,Sequence,Status
Training;Training;Training;Training;Training,Training,Training,Training,Security Training,,,,false,true,false,false,,,,,Training,,,Basic Training,Training;Training;Training,,Active
Storage;Storage;Storage;Storage;Storage,Storage,Storage,Storage,Cloud Storage Enterprise - 2 TB,,,,false,true,false,true,,,,,Storage,,,Cloud Storage,Cloud Storage;Storage;Storage,,Active
Processor;Processor;Windows_Processor;Processor;Processor,Processor,Windows_Processor,Processor,i5-CPU 4.4GHz,,,,false,true,false,true,,,,,Processor,,,Laptop,Computer;Windows_Processor;Processor,,Active
Wireless;Connection Type;Wireless;Wireless;Wireless,Connection Type,Wireless,Wireless,true,,,,false,false,false,false,,,,,Wireless,,,Keyboard,Keyboard;Wireless;Connection Type,,Active
Storage;Storage;Storage;Storage;Storage,Storage,Storage,Storage,SSD Hard Drive 256GB,,,,false,false,false,true,,,,,Storage,,,Laptop,Computer;Storage;Storage,,Active
Memory;Memory;Memory;Memory;Memory,Memory,Memory,Memory,RAM 8GB,,,,false,false,false,true,,,,,Memory,,,Laptop,Computer;Memory;Memory,,Active
Graphics;Graphics;Graphics;Graphics;Graphics,Graphics,Graphics,Graphics,Intel Iris Xe Graphics,,,,false,true,false,false,,,,,Graphics,,,Laptop,Computer;Graphics;Graphics,,Active
Display;Display;Display;Display;Display,Display,Display,Display,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,,Laptop,Computer;Display;Display,,Active
Printer Type;Printer;Printer;Printer Type;Printer Type,Printer,Printer,Printer Type,Laser,,,,false,true,false,false,,,,,Printer Type,,,Printer,Printer;Printer;Printer,,Active
Paper Size;Paper;Paper Size;Paper Size;Paper Size,Paper,Paper Size,Paper Size,A4,,,,false,false,false,false,,,,,Paper Size,,,Printer Paper,Paper;Paper Size;Paper,,Active
Screen Size;Display;Display_Size;Screen Size;Screen Size,Display,Display_Size,Screen Size,13 Inch,,,,false,true,false,true,,,,,Screen Size,,,Laptop,Computer;Display_Size;Display,,Active
Display;Display;Display;Display;Display,Display,Display,Display,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,,Monitor,Monitor;Display;Display,,Active
Screen Size;Display;Display_Size;Screen Size;Screen Size,Display,Display_Size,Screen Size,24 Inch,,,,false,true,false,true,,,,,Screen Size,,,Monitor,Monitor;Display_Size;Display,,Active
Wireless;Connection Type;Wireless;Wireless;Wireless,Connection Type,Wireless,Wireless,false,,,,false,true,false,false,,,,,Wireless,,,Mouse,Mouse;Wireless;Connection Type,,Active
Support Level;Support;Support_Level;Support Level;Support Level,Support,Support_Level,Support Level,Premium Support,,,,false,true,false,false,,,,,Support Level,,,Support,Support;Support_Level;Support,,Active
