$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,AttributeCategory.Name,AttributeDefinition.Name,AttributeNameOverride,DefaultValue,DisplayType,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Name,Sequence,Status
Cloud Storage;Storage;Storage,Storage,Storage,Storage,,,false,false,true,,,,,Storage,Cloud Storage,,Active
Keyboard;Wireless;Connection Type,Connection Type,Wireless,Wireless,true,,false,false,false,,,,,Wireless,Keyboard,,Active
Computer;Memory;Memory,Memory,Memory,Memory,RAM 32GB,,false,false,true,,,,,Memory,Computer,,Active
Computer;Graphics;Graphics,Graphics,Graphics,Graphics,,,false,false,false,,,,,Graphics,Computer,,Active
Computer;Storage;Storage,Storage,Storage,Storage,,,false,false,true,,,,,Storage,Computer,,Active
Computer;Windows_Processor;Processor,Processor,Windows_Processor,Processor,i5-CPU 4.4GHz,,false,false,true,,,,,Processor,Computer,,Active
Computer;Display;Display,Display,Display,Display,1080p Built-in Display,,false,false,true,,,,,Display,Computer,,Active
Computer;Display_Size;Display,Display,Display_Size,Screen Size,,,false,false,true,,,,,Screen Size,Computer,,Active
Monitor;Display;Display,Display,Display,Display,1080p Built-in Display,,false,false,true,,,,,Display,Monitor,,Active
Monitor;Display_Size;Display,Display,Display_Size,Screen Size,,,false,false,true,,,,,Screen Size,Monitor,,Active
Mouse;Wireless;Connection Type,Connection Type,Wireless,Wireless,true,,false,false,false,,,,,Wireless,Mouse,,Active
Printer;Printer;Printer,Printer,Printer,Printer Type,,,false,false,false,,,,,Printer Type,Printer,,Active
Paper;Paper Size;Paper,Paper,Paper Size,Paper Size,,,false,false,false,,,,,Paper Size,Paper,,Active
Support;Support_Level;Support,Support,Support_Level,Support Level,Premium Support,,false,false,false,,,,,Support Level,Support,,Active
Training;Training;Training,Training,Training,Training,,,false,false,false,,,,,Training,Training,,Active
Software;Subscription Type,,Subscription Type,Subscription Type,,,false,false,true,,,,,Subscription Type,Software,,Active
Media;Subscription Type,,Subscription Type,Subscription Type,,,false,false,true,,,,,Subscription Type,Media,,Active
