$$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.$$Name$ParentProduct.StockKeepingUnit,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,Sequence
Computer Protection;Bundle to Bundle Component Relationship,Antivirus,BundleComponent,,true,true,true,false,,,PRC-000000002,Laptop Basic Bundle,Bundle,,Computer Protection,Bundle to Bundle Component Relationship,1,Proportional,
Laptop;Bundle to Bundle Component Relationship,Laptop,BundleComponent,,true,true,true,false,,,PRC-000000001,Laptop Basic Bundle,Bundle,,Laptop,Bundle to Bundle Component Relationship,1,Proportional,
Laptop;Bundle to Bundle Component Relationship,Laptop Bag,BundleComponent,,false,false,false,false,,,PRC-000000036,Laptop Basic Bundle,Bundle,,Laptop,Bundle to Bundle Component Relationship,1,Proportional,
Laptop Care;Bundle to Bundle Component Relationship,Support,BundleComponent,,false,true,true,false,,,PRC-000000029,Laptop Care Package,Bundle,,Laptop Care,Bundle to Bundle Component Relationship,1,Proportional,
Laptop Care;Bundle to Bundle Component Relationship,Basic Training,BundleComponent,,false,true,true,false,,,PRC-000000030,Laptop Care Package,Bundle,,Laptop Care,Bundle to Bundle Component Relationship,1,Proportional,
Laptop Care;Bundle to Bundle Component Relationship,Warranty,BundleComponent,,false,true,true,false,,,PRC-000000031,Laptop Care Package,Bundle,,Laptop Care,Bundle to Bundle Component Relationship,1,Proportional,
Laptop;Bundle to Bundle Component Relationship,Laptop,BundleComponent,,true,true,true,false,,,PRC-000000003,Laptop Pro Bundle,Bundle,,Laptop,Bundle to Bundle Component Relationship,1,Proportional,
Accessories;Bundle to Bundle Component Relationship,Mouse,BundleComponent,,true,false,true,false,,,PRC-000000004,Laptop Pro Bundle,Bundle,,Accessories,Bundle to Bundle Component Relationship,1,Proportional,
Accessories;Bundle to Bundle Component Relationship,Printer Bundle,BundleComponent,,false,false,false,false,,,PRC-000000005,Laptop Pro Bundle,Bundle,,Accessories,Bundle to Bundle Component Relationship,1,Constant,
Accessories;Bundle to Bundle Component Relationship,Warranty,BundleComponent,,false,false,false,false,,,PRC-000000006,Laptop Pro Bundle,Bundle,,Accessories,Bundle to Bundle Component Relationship,1,Proportional,
Software;Bundle to Product Classification Component Relationship,,ClassificationComponent,,false,false,false,true,,,PRC-000000035,Laptop Pro Bundle,Bundle,,Software,Bundle to Product Classification Component Relationship,1,,
Printer;Bundle to Bundle Component Relationship,Printer,BundleComponent,,true,true,true,false,,,PRC-000000007,Printer Bundle,Bundle,,Printer,Bundle to Bundle Component Relationship,1,Proportional,
Printer Accessories;Bundle to Bundle Component Relationship,Printer Paper,BundleComponent,,false,true,true,true,,,PRC-000000008,Printer Bundle,Bundle,,Printer Accessories,Bundle to Bundle Component Relationship,1,Proportional,
Training Group;Bundle to Bundle Component Relationship,Basic Training,BundleComponent,,true,true,true,false,,,PRC-000000023,Training Platform Package,Bundle,,Training Group,Bundle to Bundle Component Relationship,1,Proportional,
Training Group;Bundle to Bundle Component Relationship,Udemy Access,BundleComponent,,true,true,true,false,,,PRC-000000024,Training Platform Package,Bundle,,Training Group,Bundle to Bundle Component Relationship,1,Proportional,
Skill Development;Bundle to Bundle Component Relationship,AI Specialist Training,BundleComponent,,true,true,true,false,,,PRC-000000017,Skill Development Package,Bundle,,Skill Development,Bundle to Bundle Component Relationship,1,Proportional,
Skill Development;Bundle to Bundle Component Relationship,Professional Certifications,BundleComponent,,false,false,false,false,,,PRC-000000018,Skill Development Package,Bundle,,Skill Development,Bundle to Bundle Component Relationship,1,Proportional,
Trainings;Bundle to Bundle Component Relationship,Training Platform Package,BundleComponent,,true,true,true,false,,,PRC-000000034,Advanced Training,Bundle,,Trainings,Bundle to Bundle Component Relationship,1,Proportional,
Trainings;Bundle to Bundle Component Relationship,Machine Learning Model Training,BundleComponent,,true,true,true,false,,,PRC-000000019,Advanced Training,Bundle,,Trainings,Bundle to Bundle Component Relationship,1,Proportional,
Trainings;Bundle to Bundle Component Relationship,Skill Development Package,BundleComponent,,false,false,false,false,,,PRC-000000027,Advanced Training,Bundle,,Trainings,Bundle to Bundle Component Relationship,1,Proportional,
